Watertype;Groeivorm;Klasse;Ondergrens;Bovengrens
M8;Emerse vegetatie;Ontoereikend;50;75
M8;Emerse vegetatie;Slecht;0;1
M8;Emerse vegetatie;Slecht;75;100
M8;Flab en Kroos;GEP;0;15
M8;Flab en Kroos;Matig;15;30
M8;Flab en Kroos;Ontoereikend;30;60
M8;Flab en Kroos;Slecht;60;100
M10;Submerse vegetatie;MEP;70;70
M10;Submerse vegetatie;GEP;35;75
M10;Submerse vegetatie;Matig;20;35
M10;Submerse vegetatie;Matig;75;80
M10;Submerse vegetatie;Ontoereikend;10;20
M10;Submerse vegetatie;Ontoereikend;80;90
M10;Submerse vegetatie;Slecht;0;10
M10;Submerse vegetatie;Slecht;90;100
M10;Drijvende vegetatie;MEP;40;40
M10;Drijvende vegetatie;GEP;20;60
M10;Drijvende vegetatie;Matig;10;20
M10;Drijvende vegetatie;Matig;60;80
M10;Drijvende vegetatie;Ontoereikend;5;10
M10;Drijvende vegetatie;Ontoereikend;80;100
M10;Drijvende vegetatie;Slecht;0;5
M10;Emerse vegetatie;MEP;20;20
M10;Emerse vegetatie;GEP;10;30
M10;Emerse vegetatie;Matig;5;10
M10;Emerse vegetatie;Matig;30;50
M10;Emerse vegetatie;Ontoereikend;1;5
M10;Emerse vegetatie;Ontoereikend;50;75
M10;Emerse vegetatie;Slecht;0;1
M10;Emerse vegetatie;Slecht;75;100
M2;Submerse vegetatie;MEP;65;65
M2;Submerse vegetatie;GEP;25;90
M2;Submerse vegetatie;Matig;10;25
M2;Submerse vegetatie;Matig;90;95
M2;Submerse vegetatie;Ontoereikend;5;10
M2;Submerse vegetatie;Ontoereikend;95;100
M2;Submerse vegetatie;Slecht;0;5
M2;Drijvende vegetatie;MEP;20;20
M2;Drijvende vegetatie;GEP;10;30
M2;Drijvende vegetatie;Matig;5;10
M2;Drijvende vegetatie;Matig;30;40
M2;Drijvende vegetatie;Ontoereikend;1;5
M2;Drijvende vegetatie;Ontoereikend;40;100
M2;Drijvende vegetatie;Slecht;0;1
M2;Emerse vegetatie;MEP;10;10
M2;Emerse vegetatie;GEP;5;30
M2;Emerse vegetatie;Matig;1;5
M2;Emerse vegetatie;Matig;30;50
M2;Emerse vegetatie;Ontoereikend;50;75
M2;Emerse vegetatie;Slecht;0;1
M2;Emerse vegetatie;Slecht;75;100
M2;Flab en Kroos;GEP;0;15
M2;Flab en Kroos;Matig;15;30
M2;Flab en Kroos;Ontoereikend;30;60
M2;Flab en Kroos;Slecht;60;100
M4;Submerse vegetatie;MEP;65;65
M4;Submerse vegetatie;GEP;25;90
M4;Submerse vegetatie;Matig;10;25
M4;Submerse vegetatie;Matig;90;95
M4;Submerse vegetatie;Ontoereikend;5;10
M4;Submerse vegetatie;Ontoereikend;95;100
M4;Submerse vegetatie;Slecht;0;5
M4;Drijvende vegetatie;MEP;40;40
M4;Drijvende vegetatie;GEP;20;60
M4;Drijvende vegetatie;Matig;10;20
M4;Drijvende vegetatie;Matig;60;80
M4;Drijvende vegetatie;Ontoereikend;5;10
M4;Drijvende vegetatie;Ontoereikend;80;100
M4;Drijvende vegetatie;Slecht;0;5
M4;Emerse vegetatie;MEP;10;10
M4;Emerse vegetatie;GEP;5;30
M4;Emerse vegetatie;Matig;1;5
M4;Emerse vegetatie;Matig;30;50
M4;Emerse vegetatie;Ontoereikend;50;75
M4;Emerse vegetatie;Slecht;0;1
M4;Emerse vegetatie;Slecht;75;100
M9;Submerse vegetatie;MEP;50;50
M9;Submerse vegetatie;GEP;20;60
M9;Submerse vegetatie;Matig;10;20
M9;Submerse vegetatie;Matig;60;80
M9;Submerse vegetatie;Ontoereikend;5;10
M9;Submerse vegetatie;Ontoereikend;80;100
M9;Submerse vegetatie;Slecht;0;5
M9;Drijvende vegetatie;MEP;20;20
M9;Drijvende vegetatie;GEP;10;30
M9;Drijvende vegetatie;Matig;5;10
M9;Drijvende vegetatie;Matig;30;40
M9;Drijvende vegetatie;Ontoereikend;1;5
M9;Drijvende vegetatie;Ontoereikend;40;100
M9;Drijvende vegetatie;Slecht;0;1
M9;Emerse vegetatie;MEP;30;30
M9;Emerse vegetatie;GEP;15;40
M9;Emerse vegetatie;Matig;10;15
M9;Emerse vegetatie;Matig;40;75
M9;Emerse vegetatie;Ontoereikend;5;10
M9;Emerse vegetatie;Ontoereikend;75;100
M9;Emerse vegetatie;Slecht;0;5
M9;Flab en Kroos;GEP;0;15
M9;Flab en Kroos;Matig;15;30
M9;Flab en Kroos;Ontoereikend;30;60
M9;Flab en Kroos;Slecht;60;100
