"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100100021,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100022,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100023,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100024,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100025,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
100100026,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100027,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
100100028,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M14","","GEM","2000-01-01",NA,""
100100029,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M20","","GEM","2000-01-01",NA,""
100100030,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M23","","GEM","2000-01-01",NA,""
100100031,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M27","","GEM","2000-01-01",NA,""
100100032,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei4","Fytopl. - bloeisoort (04) dunne filamenteuze blauwalg","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100033,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei5","Fytopl. - bloeisoort (05) Thalassiosira pseudonana","NVT","n/ml","cel","OW","M30","","GEM","2000-01-01",NA,""
100100034,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M3","","GEM","2000-01-01",NA,""
100100035,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M4","","GEM","2000-01-01",NA,""
100100036,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M6a","","GEM","2000-01-01",NA,""
100100037,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M6b","","GEM","2000-01-01",NA,""
100100038,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M7a","","GEM","2000-01-01",NA,""
100100039,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M7b","","GEM","2000-01-01",NA,""
100100040,"KRW maatlatten 2018 - Fytoplankton (AQUOKIT KRW Waterkwaliteitsnormen Export 20220912)","AANTPVLME","Aantal per volume","FYT_bloei6","Fytopl. - bloeisoort (06) Stephanodiscus hantzschii","NVT","n/ml","cel","OW","M10","","GEM","2000-01-01",NA,""
