"ID_classificatie","bron","Grootheid.code","Grootheid.omschrijving","Parameter.code","Parameter.omschrijving","CAS.nummer","Eenheid.code","Hoedanigheid.code","Compartiment.code","KRWwatertype.code","GeoObject.identificatie","Waardebewerkingmethode.code","Begindatum","Einddatum","Bijzondere.Omstandigheid"
100300031,"KRW maatlatten 2018 - Vis","AANTPOPVTE","Aantal per oppervlakte","VIS_MERNMERL","Merlangius merlangus","NVT","n/ha","NVT","OW","O2b",NA,"GEM","2000-01-01",NA,"VISaantpoO2b"
100300032,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M1a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300033,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M1a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300034,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M1b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300035,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M1b",NA,"BER","2000-01-01",NA,"VISrelMs"
100300036,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M3",NA,"BER","2000-01-01",NA,"VISrelMs"
100300037,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M3",NA,"BER","2000-01-01",NA,"VISrelMs"
100300038,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M4",NA,"BER","2000-01-01",NA,"VISrelMs"
100300039,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M4",NA,"BER","2000-01-01",NA,"VISrelMs"
100300040,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_groepBK","Visgroep - brasem en karper (BK)","NVT","%","NVT","OW","M6a",NA,"BER","2000-01-01",NA,"VISrelMs"
100300041,"KRW maatlatten 2018 - Vis","MASSFTE","Massafractie","VIS_gildePm","Visgilde - plantminnende soort (Pm)","NVT","%","NVT","OW","M6a",NA,"BER","2000-01-01",NA,"VISrelMs"
